0	3	28	16	42.3	38
1	4	29	9	42.4	16
2	6	30	9	42.5	10
3	4	31	16	43	52
4	2	32	20	43.5	40
5	3	32.5	8	44	53
6	4	33	6	44.1	31
7	3	33.5	7	44.2	17
8	2	34	30	44.3	13
9	3	34.5	8	44.4	14
10	8	35	57	44.5	19
11	8	35.5	19	44.6	19
12	3	36	36	44.7	18
13	3	36.5	13	44.8	56
14	4	37	5	44.9	46
15	3	37.5	8	45	36
16	3	38	6	45.5	28
17	6	38.5	20	46	21
18	12	39	8	46.5	47
19	12	39.5	43	47	31
20	8	40	35	47.5	42
21	6	40.5	13	48	36
22	5	41	29	48.5	25
23	4	41.25	32	49	22
24	5	41.5	7	49.5	18
25	7	42	31	50	14
26	19	42.1	29		
27	23	42.2	21		
